accx,accy,accz,accT,time,label
-0.2125157961246841,0.0564386786668955,0.03744682055964958,-0.6945148957110951,9.009992,1
-0.2313921651221567,0.02962944797312206,0.023933402705515208,-0.7103380398985502,9.015175,1
-0.25231149957877,0.005537435318929751,0.02089660005521471,-0.721088692887156,9.019427,1
-0.27603201347935974,-0.01593545380974576,0.020655921057288792,-0.7300980429269032,9.024446,1
-0.2944555602358888,-0.02166417343110094,0.02047187241181604,-0.7400916076768748,9.029707,1
-0.31247367312552654,-0.04136155185521251,-0.005634720069088911,-0.7491766665404853,9.03368,1
-0.3223778433024432,-0.05085710081663686,-0.030898936057253183,-0.7553847900972859,9.040757,1
-0.34168597304128057,-0.06990705544792414,-0.028732825075919954,-0.7484195783018511,9.043919,1
-0.3530170598146588,-0.08824092012654194,-0.03163513063914421,-0.7383503047280161,9.051604,1
-0.364195450716091,-0.10498565367731816,-0.05277948848634136,-0.7311579664609911,9.05281,1
-0.37376790227464196,-0.10712411408391992,-0.040476544415893205,-0.728281031154181,9.058839,1
-0.3865101095197978,-0.1251048385119063,-0.061734162967996664,-0.7171518340462582,9.062953,1
-0.37854359730412807,-0.14974618044485866,-0.09293040837562902,-0.6992845516144908,9.067519,1
-0.36969776748104466,-0.16004610442161027,-0.10379635725257835,-0.6905780368701973,9.072042,1
-0.36164700926705984,-0.17255315496480866,-0.10259296226294878,-0.6804330544724988,9.077082,1
-0.3450136899747262,-0.17445618853765604,-0.08687096066314133,-0.6769504485747815,9.081774,1
-0.3239100673967987,-0.16106628736787898,-0.062180126993565274,-0.6803573456486354,9.086703,1
-0.2787752737994945,-0.1822743213085809,-0.12326304090835075,-0.6422000984214711,9.093715,1
-0.2315501263689975,-0.19107339922014865,-0.16439083437745539,-0.5974561835181891,9.096127,1
-0.20169545071609102,-0.18659047992741012,-0.19850354293642525,-0.5673240716205474,9.100819,1
-0.1730570766638585,-0.18990607450278352,-0.23609193937720763,-0.5279554832115684,9.105436,1
-0.14614048020219045,-0.1710130710939991,-0.19917602837180648,-0.5241700420183973,9.110563,1
-0.1406223673125527,-0.13318782647080468,-0.12044568087380625,-0.5522580156717265,9.115478,1
-0.15664490311710197,-0.07691100375211518,-0.04312401339307825,-0.5966990952795549,9.119756,1
-0.18229780960404385,-0.0201927557201364,0.023020238272208046,-0.6362948101601242,9.125302,1
-0.21247893850042127,0.03948794663658428,0.07575725399420966,-0.6690010220691223,9.129547,1
-0.25058445661331086,0.07184932682639719,0.13391662596360096,-0.6766476132793278,9.134094,1
-0.29541912384161756,0.10649630919390826,0.17773436117423047,-0.6790702956429573,9.140836,1
-0.34641427969671446,0.13941682811388767,0.19189902808157616,-0.6914865427565584,9.146703,1
-0.3950716090985678,0.17272972509012427,0.20819441199997185,-0.6821743574213575,9.14911,1
-0.42836457455770854,0.20581700468401298,0.22210424232127823,-0.6634742779270925,9.158733,1
-0.45609203875315923,0.24202368982514647,0.2158253519930346,-0.659991672029375,9.160126,1
-0.47730096882898065,0.26266277558427537,0.22899190893839338,-0.6353863042737632,9.163332,1
-0.4966406908171862,0.2880103980184907,0.23025193428047608,-0.6210016277397131,9.167464,1
-0.5075610783487785,0.30065478088137915,0.25405083989891497,-0.5903395540750275,9.172377,1
-0.518202401010952,0.3143095372391298,0.27201681921467874,-0.5651285157285082,9.178148,1
-0.5297546335299074,0.3201363513745493,0.28254298597690913,-0.5468069803535602,9.182039,1
-0.5356623841617523,0.324599651764475,0.28452504831276954,-0.5403717303251694,9.188416,1
-0.5415016849199663,0.3238541334575863,0.278444364218112,-0.5418101979785744,9.194877,1
-0.5455718197135636,0.31794884371091536,0.28258545874124896,-0.535602074421774,9.196581,1
-0.5483940606571188,0.31261250214581743,0.2773117571690488,-0.5387818450240376,9.201186,1
-0.5495735046335299,0.3005861147215341,0.267252790814557,-0.5478669038876481,9.205543,1
-0.5466354254422915,0.2905412364813497,0.24739677348566913,-0.5685354128023622,9.210174,1
-0.5443871103622577,0.27862275302253714,0.22652140981262442,-0.589355339364803,9.215797,1
-0.5456086773378265,0.2576893837212153,0.19312365945337562,-0.6174433130181323,9.219816,1
-0.5450084245998315,0.2504598180346763,0.1614531348439481,-0.6438656925464663,9.225133,1
