time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),label
9.009992,3.1378,-1.8697,1.7189,4.037,WALKING
9.015175,2.7793,-2.143,1.528,3.828,WALKING
9.019427,2.382,-2.3886,1.4851,3.686,WALKING
9.024446,1.9315,-2.6075,1.4817,3.567,WALKING
9.029707,1.5816,-2.6659,1.4791,3.435,WALKING
9.03368,1.2394,-2.8667,1.1103,3.315,WALKING
9.040757,1.0513,-2.9635,0.7534,3.233,WALKING
9.043919,0.6846,-3.1577,0.784,3.325,WALKING
9.051604,0.4694,-3.3446,0.743,3.458,WALKING
9.05281,0.2571,-3.5153,0.4443,3.553,WALKING
9.058839,0.0753,-3.5371,0.6181,3.591,WALKING
9.062953,-0.1667,-3.7204,0.3178,3.738,WALKING
9.067519,-0.0154,-3.9716,-0.1229,3.974,WALKING
9.072042,0.1526,-4.0766,-0.2764,4.089,WALKING
9.077082,0.3055,-4.2041,-0.2594,4.223,WALKING
9.081774,0.6214,-4.2235,-0.0373,4.269,WALKING
9.086703,1.0222,-4.087,0.3115,4.224,WALKING
9.093715,1.8794,-4.3032,-0.5514,4.728,WALKING
9.096127,2.7763,-4.3929,-1.1324,5.319,WALKING
9.100819,3.3433,-4.3472,-1.6143,5.717,WALKING
9.105436,3.8872,-4.381,-2.1453,6.237,WALKING
9.110563,4.3984,-4.1884,-1.6238,6.287,WALKING
9.115478,4.5032,-3.8028,-0.5116,5.916,WALKING
9.119756,4.1989,-3.2291,0.5807,5.329,WALKING
9.125302,3.7117,-2.6509,1.5151,4.806,WALKING
9.129547,3.1385,-2.0425,2.2601,4.374,WALKING
9.134094,2.4148,-1.7126,3.0817,4.273,WALKING
9.140836,1.5633,-1.3594,3.7007,4.241,WALKING
9.146703,0.5948,-1.0238,3.9008,4.077,WALKING
9.14911,-0.3293,-0.6842,4.131,4.2,WALKING
9.158733,-0.9616,-0.3469,4.3275,4.447,WALKING
9.160126,-1.4882,0.0222,4.2388,4.493,WALKING
9.163332,-1.891,0.2326,4.4248,4.818,WALKING
9.167464,-2.2583,0.491,4.4426,5.008,WALKING
9.172377,-2.4657,0.6199,4.7788,5.413,WALKING
9.178148,-2.6678,0.7591,5.0326,5.746,WALKING
9.182039,-2.8872,0.8185,5.1813,5.988,WALKING
9.188416,-2.9994,0.864,5.2093,6.073,WALKING
9.194877,-3.1103,0.8564,5.1234,6.054,WALKING
9.196581,-3.1876,0.7962,5.1819,6.136,WALKING
9.201186,-3.2412,0.7418,5.1074,6.094,WALKING
9.205543,-3.2636,0.6192,4.9653,5.974,WALKING
9.210174,-3.2078,0.5168,4.6848,5.701,WALKING
9.215797,-3.1651,0.3953,4.3899,5.426,WALKING
9.219816,-3.1883,0.1819,3.9181,5.055,WALKING
9.225133,-3.1769,0.1082,3.4707,4.706,WALKING
9.229643,-3.2264,-0.0519,2.8608,4.312,WALKING
9.234201,-3.248,-0.2135,2.2483,3.956,WALKING
9.240949,-3.2892,-0.367,1.6936,3.718,WALKING
9.245216,-3.3568,-0.5256,1.1448,3.585,WALKING
9.250252,-3.5225,-0.7091,0.6728,3.656,WALKING
9.257237,-3.7207,-0.8527,0.2969,3.829,WALKING
9.260307,-3.9303,-1.0332,-0.2197,4.07,WALKING
9.263171,-4.037,-1.0954,-0.5492,4.219,WALKING
9.267984,-4.1957,-1.2216,-0.9341,4.469,WALKING
9.272572,-4.3739,-1.2228,-1.1236,4.679,WALKING
9.278345,-4.5077,-1.207,-1.2364,4.828,WALKING
9.281919,-4.6285,-1.1649,-1.2301,4.929,WALKING
9.286934,-4.6748,-1.0585,-1.0891,4.915,WALKING
9.291838,-4.6996,-0.9735,-0.8998,4.883,WALKING
9.296281,-4.6629,-0.8677,-0.5703,4.777,WALKING
9.301289,-4.6772,-0.7524,-0.1527,4.74,WALKING
9.305888,-4.6299,-0.6132,0.3097,4.681,WALKING
9.310979,-4.5832,-0.4879,0.8508,4.687,WALKING
9.315521,-4.5417,-0.3544,1.3175,4.742,WALKING
9.321198,-4.5462,-0.1819,1.8173,4.899,WALKING
9.325726,-4.5892,-0.0942,2.2503,5.112,WALKING
9.329984,-4.635,0.0526,2.5755,5.303,WALKING
9.334806,-4.7553,0.1703,2.8834,5.564,WALKING
9.339711,-4.8833,0.2571,3.0688,5.773,WALKING
9.343958,-5.0434,0.3081,3.1475,5.953,WALKING
9.348728,-5.1872,0.3404,3.1099,6.058,WALKING
9.357385,-5.3486,0.3375,2.9172,6.102,WALKING
9.3592,-5.4898,0.3017,2.6059,6.084,WALKING
9.363487,-5.626,0.2226,2.1666,6.033,WALKING
9.367876,-5.7425,0.0881,1.552,5.949,WALKING
9.385409,-5.6583,-0.3211,0.3458,5.678,WALKING
9.388092,-5.6125,-0.5588,-0.4826,5.661,WALKING
9.389232,-5.3761,-0.7733,-1.2451,5.572,WALKING
9.39245,-5.0907,-1.0394,-1.898,5.532,WALKING
9.396289,-4.7867,-1.2737,-2.7637,5.672,WALKING
9.400845,-4.249,-1.4941,-3.4054,5.647,WALKING
9.406837,-3.5101,-1.6701,-3.814,5.446,WALKING
9.41205,-2.5662,-1.841,-4.0373,5.126,WALKING
9.415618,-1.4716,-1.8912,-4.2581,4.886,WALKING
9.423408,-0.1101,-1.9072,-4.2131,4.626,WALKING
9.425946,1.4171,-1.9144,-3.943,4.607,WALKING
9.429603,2.8496,-1.8867,-3.4622,4.865,WALKING
9.434553,3.9398,-1.8047,-3.1728,5.371,WALKING
9.440958,5.1429,-1.8868,-2.3884,5.976,WALKING
9.444221,6.2745,-1.9771,-1.5413,6.757,WALKING
9.448913,7.2724,-2.0832,-0.7683,7.604,WALKING
9.461486,8.4112,-2.2109,-0.0598,8.697,WALKING
9.463412,9.5303,-2.3487,0.1982,9.817,WALKING
9.464508,10.6028,-2.5137,0.1762,10.898,WALKING
9.468189,10.4915,-2.3707,-0.1087,10.757,WALKING
9.473211,11.5937,-2.6367,-1.056,11.937,WALKING
9.478493,13.8497,-2.6253,-1.6297,14.19,WALKING
9.482975,14.9568,-2.5344,-2.7875,15.424,WALKING
9.491382,15.2516,-2.1604,-4.0125,15.918,WALKING
9.492786,14.7846,-1.8182,-4.7489,15.635,WALKING
9.497032,11.963,-1.4843,-5.0197,13.058,WALKING
9.501708,8.6759,-1.0534,-5.2133,10.176,WALKING
9.506481,5.9409,-0.8306,-5.1299,7.893,WALKING
9.511179,3.4092,-0.5593,-5.1543,6.205,WALKING
9.5249,1.0997,-0.4579,-5.0589,5.197,WALKING
9.525948,-1.055,-0.2617,-5.0518,5.167,WALKING
9.526735,-2.942,-0.2856,-4.7888,5.628,WALKING
9.53045,-4.5719,-0.3878,-4.1659,6.197,WALKING
9.53537,-6.0189,-0.4603,-3.3192,6.889,WALKING
9.540578,-7.0443,-0.4586,-2.1446,7.378,WALKING
9.546728,-7.7746,-0.34,-0.8039,7.823,WALKING
9.550106,-8.0413,-0.1643,0.5989,8.065,WALKING
9.559348,-7.7707,-0.0586,1.9364,8.009,WALKING
9.56118,-7.2198,-0.1326,3.0777,7.85,WALKING
9.564017,-6.2476,-0.5422,4.2549,7.578,WALKING
9.568759,-4.9179,-1.1378,5.3376,7.346,WALKING
9.576197,-3.456,-1.7845,6.3715,7.465,WALKING
9.577825,-2.0604,-2.398,7.2397,7.9,WALKING
9.583345,-1.0528,-2.5902,7.7661,8.254,WALKING
9.588284,-0.1782,-2.6968,8.2624,8.693,WALKING
9.592616,0.6535,-2.5833,8.6096,9.013,WALKING
9.597023,1.5488,-2.4616,8.9458,9.407,WALKING
9.602143,2.4781,-2.3204,9.1906,9.798,WALKING
9.606646,3.2848,-2.0061,9.1073,9.887,WALKING
9.61172,4.0765,-1.7863,8.8976,9.949,WALKING
9.61599,4.4762,-1.5288,8.4411,9.676,WALKING
9.62232,4.3165,-1.2886,7.6435,8.872,WALKING
9.625889,3.8377,-1.0824,6.6377,7.743,WALKING
9.630798,3.2522,-0.9089,5.5225,6.473,WALKING
9.635711,2.6573,-0.7871,4.3456,5.154,WALKING
9.641157,2.1315,-0.678,3.1575,3.869,WALKING
9.646721,1.8335,-0.6029,2.1751,2.908,WALKING
9.650691,1.6936,-0.4246,1.3092,2.182,WALKING
9.660708,1.751,-0.2047,0.7857,1.93,WALKING
9.661947,1.9565,0.1022,0.3852,1.997,WALKING
9.664753,2.3043,0.5105,0.0644,2.361,WALKING
9.66855,2.698,0.8773,-0.0998,2.839,WALKING
9.67314,3.0942,1.1654,-0.1277,3.309,WALKING
9.67898,3.3993,1.5302,-0.1857,3.732,WALKING
9.683317,3.6243,1.7736,-0.1702,4.039,WALKING
9.689992,3.8025,1.898,-0.1464,4.252,WALKING
9.69225,3.8753,1.8007,-0.143,4.276,WALKING
9.697315,3.8699,1.669,-0.1351,4.217,WALKING
9.702122,3.7102,1.3269,-0.1437,3.943,WALKING
9.706975,3.3919,0.8375,-0.143,3.497,WALKING
9.711675,2.9667,0.2917,-0.1038,2.983,WALKING
9.716368,2.4842,-0.2832,-0.073,2.501,WALKING
9.721371,1.9991,-0.8065,-0.0141,2.156,WALKING
9.725909,1.3927,-1.2118,0.1228,1.85,WALKING
9.730625,0.8532,-1.5289,0.3017,1.777,WALKING
9.735496,0.2584,-1.7029,0.4926,1.791,WALKING
9.742101,-0.1995,-1.7562,0.6936,1.899,WALKING
9.744744,-0.7163,-1.7246,0.9764,2.107,WALKING
9.749545,-1.0405,-1.5574,1.2079,2.229,WALKING
9.757266,-1.1081,-1.3285,1.4871,2.281,WALKING
9.760349,-1.2742,-0.9789,1.7511,2.377,WALKING
9.764629,-1.1745,-0.5799,1.8561,2.272,WALKING
9.76844,-0.9932,-0.1479,1.9767,2.217,WALKING
9.79216,-0.9124,0.2432,1.9186,2.138,WALKING
9.795183,-0.8077,0.5454,1.7586,2.011,WALKING
9.79622,-0.8361,0.7935,1.5454,1.928,WALKING
9.797325,-0.8578,0.9266,1.1691,1.721,WALKING
9.798152,-0.9425,0.9371,0.5497,1.438,WALKING
9.802303,-0.8868,0.8259,0.3865,1.272,WALKING
9.80698,-0.9507,0.7055,0.3048,1.223,WALKING
9.811504,-0.972,0.5754,0.3168,1.173,WALKING
9.816153,-1.0348,0.4233,0.4252,1.196,WALKING
9.822105,-1.0963,0.3293,0.6578,1.32,WALKING
9.826613,-1.1926,0.2548,0.9135,1.524,WALKING
9.830332,-1.3451,0.1942,1.2153,1.823,WALKING
9.835486,-1.3983,0.1111,1.5777,2.111,WALKING
9.841013,-1.3952,0.067,2.0172,2.454,WALKING
9.845354,-1.609,0.1829,2.6498,3.105,WALKING
9.849687,-1.8592,0.0929,2.8035,3.365,WALKING
9.857722,-2.1726,0.225,3.0069,3.716,WALKING
9.861578,-2.5195,0.3306,2.852,3.82,WALKING
9.864261,-2.9437,0.4769,2.8732,4.141,WALKING
9.869409,-3.4341,0.5798,2.5866,4.338,WALKING
9.878057,-3.925,0.7497,2.3917,4.657,WALKING
9.87968,-4.4335,0.8254,1.964,4.919,WALKING
9.883973,-4.9586,0.9546,1.5778,5.29,WALKING
9.888349,-5.4541,1.0298,1.0813,5.655,WALKING
9.89399,-5.8142,1.0647,0.5216,5.934,WALKING
9.897926,-6.1638,1.1197,0.1122,6.266,WALKING
9.904616,-6.2237,1.1257,-0.4722,6.342,WALKING
9.907591,-5.8963,1.1352,-0.8596,6.066,WALKING
9.912378,-5.1934,1.0805,-1.1001,5.417,WALKING
9.91708,-4.1878,0.9464,-1.1185,4.437,WALKING
9.923117,-3.051,0.9327,-1.2139,3.413,WALKING
9.926187,-1.921,0.8166,-1.1197,2.369,WALKING
9.931451,-0.9353,0.7615,-1.067,1.61,WALKING
9.935973,-0.066,0.7626,-1.0402,1.291,WALKING
9.941062,0.6573,0.7079,-0.9381,1.347,WALKING
9.945318,1.2038,0.7084,-0.8466,1.633,WALKING
9.950261,1.6436,0.6629,-0.6545,1.889,WALKING
9.957362,2.0225,0.6978,-0.442,2.185,WALKING
9.960245,2.2909,0.7836,-0.2105,2.43,WALKING
9.964565,2.4961,0.799,0.174,2.627,WALKING
9.969103,2.6618,0.8882,0.4891,2.848,WALKING
9.97398,2.8021,0.9325,0.8724,3.079,WALKING
9.978888,2.9028,0.9935,1.1587,3.28,WALKING
9.983884,2.9816,1.0782,1.4089,3.469,WALKING
9.988518,3.0617,1.1327,1.5497,3.614,WALKING
9.993917,3.0696,1.1609,1.5876,3.646,WALKING
9.997993,2.9766,1.2204,1.4366,3.523,WALKING
10.002797,2.8247,1.2972,1.1296,3.307,WALKING
10.008443,2.6096,1.4358,0.7183,3.064,WALKING
10.012234,2.352,1.6131,0.2682,2.865,WALKING
10.016947,2.1275,1.7961,-0.1264,2.787,WALKING
10.021604,1.9046,2.0353,-0.4675,2.826,WALKING
10.027101,1.7048,2.2387,-0.7113,2.902,WALKING
10.031474,1.5305,2.4335,-0.8569,3.0,WALKING
10.035872,1.3933,2.6148,-0.8935,3.095,WALKING
10.04157,1.349,2.7814,-0.7275,3.176,WALKING
10.046592,1.4387,2.9489,-0.408,3.306,WALKING
10.050246,1.6695,3.1197,0.0783,3.539,WALKING
10.057492,2.0805,3.2762,0.6436,3.934,WALKING
10.059857,2.5978,3.3285,1.2484,4.403,WALKING
10.064941,3.2101,3.3138,1.7996,4.952,WALKING
10.070826,3.7249,3.2699,2.334,5.479,WALKING
10.08707,4.2755,3.142,2.7702,5.986,WALKING
10.092284,4.8547,3.0037,2.996,6.447,WALKING
10.093477,5.1583,2.7521,3.1938,6.662,WALKING
10.094531,5.5456,2.5305,2.9397,6.768,WALKING
10.095347,5.7817,2.2666,2.7028,6.773,WALKING
10.097987,6.0227,2.0019,2.2821,6.744,WALKING
10.102178,6.2105,1.7091,1.7981,6.688,WALKING
10.108336,6.3766,1.4073,1.2691,6.652,WALKING
10.111988,6.4711,0.9792,0.8704,6.602,WALKING
10.116919,6.2994,0.3982,0.5003,6.332,WALKING
10.121968,5.8566,-0.1794,0.1505,5.861,WALKING
10.127041,5.2357,-0.788,-0.0584,5.295,WALKING
10.131415,4.5607,-1.2307,-0.3218,4.735,WALKING
10.15059,3.8787,-1.8288,-0.0446,4.288,WALKING
10.151797,3.2202,-2.1688,-0.1755,3.886,WALKING
10.152606,2.6026,-2.4874,-0.3504,3.617,WALKING
10.1533,2.016,-2.7338,-0.4821,3.431,WALKING
10.158488,1.4724,-2.9662,-0.494,3.348,WALKING
10.160362,1.0634,-3.2093,-0.335,3.397,WALKING
10.16647,0.6915,-3.4886,-0.1738,3.561,WALKING
10.169654,0.4478,-3.7228,0.0998,3.751,WALKING
10.176048,0.2257,-3.9194,0.1845,3.93,WALKING
10.179615,0.0966,-4.282,0.4936,4.311,WALKING
10.18395,-0.0867,-4.5353,0.4476,4.558,WALKING
10.188576,-0.2228,-4.8522,0.6778,4.904,WALKING
10.193626,-0.3161,-4.9977,0.9042,5.089,WALKING
10.19828,-0.2917,-5.288,0.7732,5.352,WALKING
10.20474,-0.0164,-5.4821,0.7703,5.536,WALKING
10.207886,0.5235,-5.7356,0.2214,5.764,WALKING
10.217625,1.7289,-5.6512,0.0503,5.91,WALKING
10.222285,2.4171,-5.3407,0.1645,5.865,WALKING
10.227315,3.0673,-4.9103,0.539,5.815,WALKING
10.231707,3.9947,-4.738,0.2535,6.202,WALKING
10.236272,4.4523,-4.232,0.6209,6.174,WALKING
10.241382,4.498,-3.7723,0.7054,5.913,WALKING
10.246767,4.6079,-3.3314,1.0168,5.776,WALKING
10.250981,4.2641,-2.7493,0.9374,5.159,WALKING
10.257596,3.7281,-2.1145,0.7476,4.351,WALKING
10.262683,3.0256,-1.5075,0.5303,3.422,WALKING
10.266681,2.1706,-0.9556,0.3164,2.393,WALKING
10.274979,1.3425,-0.4241,0.353,1.451,WALKING
10.276493,0.5434,0.1377,0.4964,0.749,WALKING
10.279841,-0.1235,0.5231,0.8687,1.022,WALKING
10.284277,-0.7845,0.9136,1.2048,1.703,WALKING
10.289128,-1.2977,1.2354,1.5743,2.385,WALKING
10.293779,-1.7011,1.587,1.9147,3.013,WALKING
10.298911,-1.9788,1.8085,2.3587,3.571,WALKING
10.303677,-2.223,2.0617,2.7251,4.077,WALKING
10.311486,-2.4188,2.3162,3.1514,4.599,WALKING
10.312731,-2.4893,2.4935,3.4197,4.91,WALKING
10.318151,-2.464,2.6277,3.8624,5.282,WALKING
10.322516,-2.6122,2.7538,4.1392,5.616,WALKING
10.327328,-2.6495,2.8302,4.3353,5.816,WALKING
10.331864,-2.5514,2.8074,4.5782,5.946,WALKING
10.337864,-2.52,2.8297,4.6593,6.006,WALKING
10.342228,-2.6279,2.8045,4.7917,6.143,WALKING
10.346622,-2.6868,2.6373,4.772,6.078,WALKING
10.350933,-2.6819,2.4495,4.7071,5.946,WALKING
10.35725,-2.7218,2.1235,4.6573,5.797,WALKING
10.362734,-2.8634,1.7017,4.5215,5.616,WALKING
10.366289,-3.1418,1.1889,4.1996,5.378,WALKING
10.369974,-3.4131,0.7011,3.9317,5.254,WALKING
10.376642,-3.7714,0.251,3.4742,5.134,WALKING
10.380256,-4.1282,-0.1663,2.9606,5.083,WALKING
10.384592,-4.486,-0.5158,2.505,5.164,WALKING
10.389571,-4.8267,-0.785,1.9964,5.282,WALKING
10.393885,-5.1833,-1.0691,1.4102,5.477,WALKING
10.398943,-5.4118,-1.2337,1.0586,5.651,WALKING
10.406289,-5.6239,-1.3683,0.58,5.817,WALKING
10.40825,-5.7937,-1.4359,0.2349,5.974,WALKING
10.413052,-5.97,-1.4776,-0.0955,6.151,WALKING
10.417808,-6.1056,-1.5081,-0.4182,6.303,WALKING
10.422453,-6.2146,-1.466,-0.6378,6.417,WALKING
10.427798,-6.3483,-1.4353,-0.8562,6.565,WALKING
10.431886,-6.4141,-1.3518,-0.9158,6.619,WALKING
10.43785,-6.4775,-1.2686,-1.0114,6.678,WALKING
10.441821,-6.5633,-1.1372,-1.1198,6.755,WALKING
10.447074,-6.5804,-1.0239,-1.059,6.743,WALKING
10.451513,-6.5807,-0.8341,-1.029,6.713,WALKING
10.458049,-6.5942,-0.6797,-0.9893,6.703,WALKING
10.46076,-6.5612,-0.4838,-0.9519,6.648,WALKING
10.465419,-6.5443,-0.3008,-0.944,6.619,WALKING
10.480722,-6.4904,-0.1021,-0.9421,6.559,WALKING
10.483831,-6.3619,0.0779,-0.925,6.429,WALKING
10.485111,-6.2355,0.2148,-1.0491,6.327,WALKING
10.506405,-6.0425,0.3501,-1.2004,6.171,WALKING
10.508648,-5.7146,0.4549,-1.2931,5.877,WALKING
10.509657,-5.2644,0.5721,-1.2114,5.432,WALKING
10.51054,-4.8212,0.67,-1.2919,5.036,WALKING
10.511408,-4.301,0.7284,-1.2956,4.551,WALKING
10.512168,-3.7459,0.8093,-1.2393,4.028,WALKING
10.51327,-3.0993,0.875,-1.1943,3.435,WALKING
10.517414,-2.3436,0.9065,-0.9768,2.696,WALKING
10.52375,-1.5789,0.9298,-0.8285,2.011,WALKING
10.528241,-0.7377,0.8805,-0.6063,1.299,WALKING
10.532676,0.0799,0.8204,-0.4355,0.932,WALKING
10.541275,1.082,0.7081,-0.2778,1.323,WALKING
10.542779,2.1888,0.588,0.0481,2.267,WALKING
10.546903,3.2402,0.3057,0.3263,3.271,WALKING
10.552188,4.0415,-0.0882,0.5868,4.085,WALKING
10.559541,4.9376,-0.5274,0.8801,5.043,WALKING
10.561547,5.8224,-1.0583,0.9631,5.996,WALKING
10.566048,6.6526,-1.5714,0.935,6.899,WALKING
10.573081,7.5988,-2.0795,0.6525,7.905,WALKING
10.578099,8.558,-2.6465,0.2733,8.962,WALKING
10.580224,9.0782,-3.1298,-0.1156,9.603,WALKING
10.585366,9.6574,-3.6899,-0.9896,10.386,WALKING
10.590131,10.4806,-4.0673,-1.8568,11.395,WALKING
10.61209,10.8383,-4.2401,-2.7767,11.965,WALKING
10.613763,10.7043,-4.0439,-3.782,12.051,WALKING
10.61493,10.1323,-3.5695,-4.8948,11.805,WALKING
10.615937,8.9904,-2.9398,-5.9697,11.185,WALKING
10.621355,7.5903,-2.3621,-7.018,10.604,WALKING
10.622925,6.109,-2.1634,-7.9985,10.294,WALKING
10.62392,4.5734,-2.3993,-7.9695,9.497,WALKING
10.62823,2.8459,-2.8237,-7.2609,8.294,WALKING
10.639049,-0.7173,-3.4546,-4.8794,6.021,WALKING
10.642658,-1.8511,-3.3801,-3.5552,5.243,WALKING
10.646881,-2.255,-3.0507,-2.3946,4.486,WALKING
10.651368,-2.1941,-2.7729,-1.1566,3.72,WALKING
10.657272,-1.8869,-2.7878,0.3165,3.381,WALKING
10.662696,-1.3846,-2.8345,1.7428,3.604,WALKING
10.666192,-0.6001,-2.8486,3.2013,4.327,WALKING
10.673031,0.3814,-2.8019,4.5735,5.377,WALKING
10.677653,1.3166,-2.7126,6.0261,6.738,WALKING
10.680604,1.8935,-2.2564,7.3389,7.908,WALKING
10.68489,2.306,-1.8391,8.5721,9.065,WALKING
10.689812,2.6462,-1.3075,9.6834,10.123,WALKING
10.695442,2.7747,-0.7899,10.6553,11.039,WALKING
10.699706,2.7199,-0.2049,11.4656,11.786,WALKING
10.706187,2.551,0.3899,11.9584,12.234,WALKING
10.708904,2.1839,0.9709,12.137,12.37,WALKING
10.713767,1.7115,1.5051,11.9586,12.174,WALKING
10.719442,1.1097,1.9305,11.4497,11.664,WALKING
10.7238,0.3994,2.2291,10.4888,10.73,WALKING
10.728225,-0.684,2.2616,8.8548,9.165,WALKING
10.732435,-1.595,2.226,7.3543,7.848,WALKING
10.737856,-2.4536,2.1362,5.6806,6.546,WALKING
10.742796,-2.9494,1.9937,3.8843,5.269,WALKING
10.747667,-3.2613,1.8715,2.1814,4.347,WALKING
10.752338,-3.2154,1.7962,0.5994,3.732,WALKING
10.758451,-2.7261,1.8036,-0.945,3.403,WALKING
10.762699,-1.758,1.9144,-2.2456,3.435,WALKING
10.766274,-0.4147,2.029,-3.2083,3.819,WALKING
10.776455,1.164,2.2117,-4.1524,4.847,WALKING
10.777623,2.91,2.2103,-4.4712,5.774,WALKING
10.781058,4.6074,2.0991,-4.5704,6.821,WALKING
10.785596,6.0107,1.7993,-4.0142,7.448,WALKING
10.790821,7.1094,1.3647,-3.122,7.884,WALKING
10.796082,7.6862,0.8472,-2.0402,7.997,WALKING
10.800428,7.8209,0.286,-0.8727,7.875,WALKING
10.804659,7.5621,-0.2653,0.223,7.57,WALKING
10.809028,6.9429,-0.7813,0.9908,7.057,WALKING
10.814012,6.1621,-1.2347,1.5985,6.485,WALKING
10.819206,5.0535,-1.618,1.9492,5.653,WALKING
10.823674,3.6857,-1.7195,2.1506,4.601,WALKING
10.8285,2.2075,-1.7223,2.0351,3.461,WALKING
10.83309,0.8516,-1.4846,1.976,2.614,WALKING
10.838169,-0.3637,-1.2125,1.7506,2.16,WALKING
10.842853,-1.1728,-0.744,1.6318,2.143,WALKING
10.847817,-2.0402,-0.4004,1.5655,2.603,WALKING
10.852213,-2.7017,-0.0533,1.3623,3.026,WALKING
10.857263,-3.1639,0.3493,1.2371,3.415,WALKING
10.86227,-3.4961,0.6701,1.0773,3.719,WALKING
10.867168,-3.6855,0.9232,0.9376,3.913,WALKING
10.878275,-3.7087,1.1109,0.7585,3.945,WALKING
10.879654,-3.6953,1.25,0.5755,3.943,WALKING
10.881749,-3.6168,1.315,0.3968,3.869,WALKING
10.88604,-3.5599,1.3559,0.1865,3.814,WALKING
10.890183,-3.4479,1.353,0.0096,3.704,WALKING
10.895852,-3.2949,1.2867,-0.1061,3.539,WALKING
10.907358,-3.1507,1.1858,-0.1949,3.372,WALKING
10.908532,-2.971,1.0489,-0.1011,3.152,WALKING
10.910045,-2.8076,0.8986,0.0303,2.948,WALKING
10.914092,-2.6918,0.734,0.1926,2.797,WALKING
10.927265,-2.6136,0.5754,0.3715,2.702,WALKING
10.928307,-2.5849,0.4223,0.647,2.698,WALKING
10.929023,-2.6227,0.2962,0.8382,2.769,WALKING
10.934232,-2.6347,0.152,1.0451,2.838,WALKING
10.940558,-2.6993,0.0786,1.2613,2.98,WALKING
10.944154,-2.8804,0.0162,1.2949,3.158,WALKING
10.947514,-3.0431,0.0026,1.4181,3.357,WALKING
10.952448,-3.2745,-0.0245,1.4087,3.565,WALKING
10.960742,-3.5551,-0.0654,1.3038,3.787,WALKING
10.961942,-3.8986,-0.1271,1.1518,4.067,WALKING
10.966822,-4.2406,-0.1576,1.0146,4.363,WALKING
10.971565,-4.5489,-0.2583,0.6291,4.599,WALKING
10.976992,-4.7355,-0.3318,0.2726,4.755,WALKING
10.981088,-4.7814,-0.42,-0.1346,4.802,WALKING
10.985903,-4.5595,-0.4426,-0.6015,4.62,WALKING
10.993657,-4.0814,-0.4322,-1.0646,4.24,WALKING
10.995617,-3.2959,-0.3805,-1.4645,3.627,WALKING
11.000235,-2.3412,-0.2404,-1.8757,3.01,WALKING
11.004963,-1.288,-0.0343,-2.2351,2.58,WALKING
11.009641,-0.302,0.1475,-2.3312,2.355,WALKING
11.0147,0.5337,0.4116,-2.4112,2.504,WALKING
11.019225,1.2219,0.5906,-2.2796,2.653,WALKING
11.024678,1.7432,0.9124,-2.0768,2.861,WALKING
11.029295,2.0888,1.1766,-1.7525,2.97,WALKING
11.033375,2.2993,1.4453,-1.313,3.017,WALKING
11.041676,2.3963,1.6542,-0.7859,3.016,WALKING
11.044065,2.4299,1.8527,-0.225,3.064,WALKING
11.04773,2.4025,1.9622,0.3545,3.122,WALKING
11.058094,2.2919,2.0278,1.3049,3.327,WALKING
11.062623,2.2118,1.9536,1.5761,3.346,WALKING
11.067033,2.1095,1.8385,1.6788,3.263,WALKING
11.077192,2.0285,1.6403,1.632,3.077,WALKING
11.078234,1.9306,1.3642,1.415,2.755,WALKING
11.081729,1.8468,1.1023,1.0402,2.389,WALKING
11.086324,1.7591,0.8755,0.5896,2.051,WALKING
11.093386,1.6582,0.7364,0.071,1.816,WALKING
11.095872,1.5481,0.7381,-0.4074,1.763,WALKING
11.100516,1.4229,0.8968,-0.8825,1.899,WALKING
11.110315,1.3337,1.202,-1.241,2.183,WALKING
11.111958,1.3265,1.5876,-1.5284,2.572,WALKING
11.11533,1.4059,1.9674,-1.7008,2.956,WALKING
11.11976,1.5255,2.4289,-1.7797,3.376,WALKING
11.125808,1.6911,2.8727,-1.8043,3.791,WALKING
11.129069,1.821,3.2824,-1.7666,4.149,WALKING
11.135027,1.9623,3.6059,-1.7343,4.457,WALKING
11.145048,2.1873,3.8462,-1.7542,4.76,WALKING
11.146424,2.1205,4.1334,-1.4994,4.882,WALKING
11.148318,2.1959,4.2508,-1.4426,4.997,WALKING
11.153328,2.3227,4.4271,-1.1738,5.135,WALKING
11.161957,2.2429,4.5459,-0.7554,5.125,WALKING
11.16363,2.5536,4.5773,-0.4101,5.257,WALKING
11.167805,2.9584,4.4215,-0.381,5.334,WALKING
11.172664,3.2247,4.4587,0.4048,5.517,WALKING
11.176835,3.7974,4.252,0.8275,5.761,WALKING
11.18151,4.4242,4.0155,1.2214,6.098,WALKING
11.188219,4.9047,3.6821,1.499,6.314,WALKING
11.193407,5.3804,3.2588,1.5942,6.489,WALKING
11.196071,5.7433,2.7302,1.4057,6.513,WALKING
11.200601,6.0322,2.1324,1.2357,6.516,WALKING
11.205302,6.201,1.4531,0.9156,6.434,WALKING
11.210049,6.4113,0.7002,0.6758,6.485,WALKING
11.214918,6.3062,-0.1209,0.5543,6.332,WALKING
11.21952,6.0201,-0.8232,0.532,6.099,WALKING
11.225325,5.4752,-1.395,0.4855,5.671,WALKING
11.229872,4.8553,-1.8036,0.4564,5.2,WALKING
11.233844,4.1902,-2.1416,0.5329,4.736,WALKING
11.238799,3.5557,-2.3954,0.5579,4.323,WALKING
11.244078,2.9538,-2.5697,0.5324,3.951,WALKING
